ace	Acehnese	isolating
acm	Mesopotamian Arabic	fusional
acq	Taʽizzi-Adeni Arabic	fusional
aeb	Tunisian Arabic	fusional
afr	Afrikaans	fusional
als	Albanian	fusional
amh	Amharic	fusional
apc	Levantine Arabic	fusional
arb	Modern Standard Arabic	fusional
arg	Aragonese	fusional
ars	Najdi Arabic	fusional
ary	Moroccan Arabic	fusional
arz	Egyptian Arabic	fusional
asm	Assamese	agglutinative
ast	Asturian	fusional
awa	Awadhi	fusional
ayr	Central Aymara	agglutinative
azb	South Azerbaijani	agglutinative
azj	North Azerbaijani	agglutinative
bak	Bashkir	agglutinative
bam	Bambara	isolating
ban	Balinese	isolating
bel	Belarusian	fusional
bem	Bemba	agglutinative
ben	Bengali	fusional
bho	Bhojpuri	fusional
bjn	Banjar	isolating
bod	Lhasa Tibetan	isolating
bos	Bosnian	fusional
brx	Bodo	agglutinative
bug	Buginese	agglutinative
bul	Bulgarian	fusional
cat	Catalan	fusional
ceb	Cebuano	agglutinative
ces	Czech	fusional
chv	Chuvash	agglutinative
cjk	Chokwe	agglutinative
ckb	Central Kurdish	fusional
cmn	Mandarin Chinese	isolating
crh	Crimean Tatar	agglutinative
cym	Welsh	fusional
dan	Danish	fusional
dar	Dargwa	agglutinative
deu	German	fusional
dgo	Dogri	fusional
dik	Southwestern Dinka	isolating
dyu	Dyula	isolating
dzo	Dzongkha	isolating
ekk	Estonian	agglutinative
ell	Greek	fusional
eng	English	isolating
epo	Esperanto	agglutinative
eus	Basque	agglutinative
ewe	Ewe	isolating
fao	Faroese	fusional
fij	Fijian	agglutinative
fil	Filipino	agglutinative
fin	Finnish	agglutinative
fon	Fon	isolating
fra	French	fusional
fur	Friulian	fusional
fuv	Nigerian Fulfulde	fusional
gaz	West Central Oromo	fusional
gla	Scottish Gaelic	fusional
gle	Irish	fusional
glg	Galician	fusional
gom	Goan Konkani	fusional
gug	Paraguayan Guaraní	agglutinative
guj	Gujarati	fusional
hat	Haitian Creole	isolating
hau	Hausa	agglutinative
heb	Hebrew	fusional
hin	Hindi	fusional
hne	Chhattisgarhi	fusional
hrv	Croatian	fusional
hun	Hungarian	agglutinative
hye	Armenian	fusional
ibo	Igbo	isolating
ilo	Ilocano	agglutinative
ind	Indonesian	isolating
isl	Icelandic	fusional
ita	Italian	fusional
jav	Javanese	agglutinative
jpn	Japanese	agglutinative
kaa	Karakalpak	agglutinative
kab	Kabyle	fusional
kac	Jingpho	agglutinative
kam	Kamba	agglutinative
kan	Kannada	agglutinative
kas	Kashmiri	fusional
kat	Georgian	agglutinative
kaz	Kazakh	agglutinative
kbp	Kabiyè	isolating
kea	Kabuverdianu	isolating
khk	Halh Mongolian	agglutinative
khm	Khmer	isolating
kik	Kikuyu	agglutinative
kin	Kinyarwanda	agglutinative
kir	Kyrgyz	agglutinative
kmb	Kimbundu	agglutinative
kmr	Northern Kurdish	fusional
knc	Central Kanuri	agglutinative
kor	Korean	agglutinative
ktu	Kituba	isolating
lao	Lao	isolating
lij	Ligurian	fusional
lim	Limburgish	fusional
lin	Lingala	agglutinative
lit	Lithuanian	fusional
lld	Ladin	fusional
lmo	Lombard	fusional
ltg	Latgalian	fusional
ltz	Luxembourgish	fusional
lua	Luba-Kasai	agglutinative
lug	Ganda	agglutinative
luo	Luo	isolating
lus	Mizo	agglutinative
lvs	Standard Latvian	fusional
mag	Magahi	fusional
mai	Maithili	fusional
mal	Malayalam	agglutinative
mar	Marathi	fusional
mfe	Mauritian Creole	isolating
mhr	Meadow Mari	agglutinative
min	Minangkabau	isolating
mkd	Macedonian	fusional
mlt	Maltese	fusional
mni	Meitei	agglutinative
mos	Mossi	isolating
mri	Maori	isolating
mya	Burmese	agglutinative
myv	Erzya	agglutinative
nld	Dutch	fusional
nno	Norwegian Nynorsk	fusional
nob	Norwegian Bokmål	fusional
npi	Nepali	fusional
nqo	Nko	isolating
nso	Northern Sotho	agglutinative
nus	Nuer	isolating
nya	Nyanja	agglutinative
oci	Occitan	fusional
ory	Odia	fusional
pag	Pangasinan	agglutinative
pan	Eastern Panjabi	fusional
pap	Papiamento	isolating
pbt	Southern Pashto	fusional
pes	Western Persian	fusional
plt	Plateau Malagasy	isolating
pol	Polish	fusional
por	Portuguese	fusional
prs	Dari	fusional
quy	Ayacucho Quechua	agglutinative
ron	Romanian	fusional
run	Rundi	agglutinative
rus	Russian	fusional
sag	Sango	isolating
san	Sanskrit	fusional
sat	Santali	agglutinative
scn	Sicilian	fusional
shn	Shan	isolating
sin	Sinhala	fusional
slk	Slovak	fusional
slv	Slovenian	fusional
smo	Samoan	isolating
sna	Shona	agglutinative
snd	Sindhi	fusional
som	Somali	fusional
sot	Southern Sotho	agglutinative
spa	Spanish	fusional
srd	Sardinian	fusional
srp	Serbian	fusional
ssw	Swati	agglutinative
sun	Sundanese	agglutinative
swe	Swedish	fusional
swh	Swahili	agglutinative
szl	Silesian	fusional
tam	Tamil	agglutinative
taq	Tamasheq	fusional
tat	Tatar	agglutinative
tel	Telugu	agglutinative
tgk	Tajik	fusional
tha	Thai	isolating
tir	Tigrinya	fusional
tpi	Tok Pisin	isolating
tsn	Tswana	agglutinative
tso	Tsonga	agglutinative
tuk	Turkmen	agglutinative
tum	Tumbuka	agglutinative
tur	Turkish	agglutinative
twi	Twi	isolating
tyv	Tuvan	agglutinative
uig	Uyghur	agglutinative
ukr	Ukrainian	fusional
umb	Umbundu	agglutinative
urd	Urdu	fusional
uzn	Northern Uzbek	agglutinative
uzs	Southern Uzbek	agglutinative
vec	Venetian	fusional
vie	Vietnamese	isolating
vmw	Emakhuwa	agglutinative
war	Waray	agglutinative
wol	Wolof	isolating
wuu	Wu Chinese	isolating
xho	Xhosa	agglutinative
ydd	Eastern Yiddish	fusional
yor	Yoruba	isolating
yue	Yue Chinese	isolating
zgh	Standard Moroccan Tamazight	fusional
zsm	Standard Malay	isolating
zul	Zulu	agglutinative
